Date,MMM,ABT,ABBV,ABMD,ACN,ATVI,ADBE,AMD,AAP,AES,AMG,AFL,A,APD,AKAM,ALK,ALB,ARE,ALXN,ALGN,ALLE,AGN,ADS,LNT,ALL,GOOGL,GOOG,MO,AMZN,AMCR,AEE,AAL,AEP,AXP,AIG,AMT,AWK,AMP,ABC,AME
20181106,195.3,70.96,83.66,389.85,159.42,64.25,240.56,20.68,168.09,16.01,115.66,43.99,65.98,158.09,69.83,64.6,107.79,123.24,123.22,229.37,89.11,165.21,207.54,43.36,91.03,1069.57,1055.81,64.87,1642.81,,65.07,35.17,74.45,104.98,44.9,156.16,89.1,127.55,84.0,74.64
20181107,201.29,72.5,86.96,412.1,163.87,65.09,253.43,21.84,170.51,15.6,117.66,45.06,68.26,160.98,71.55,66.19,107.99,125.31,127.18,245.31,89.77,169.61,212.83,43.83,92.52,1108.24,1093.39,65.37,1755.49,,66.04,36.97,75.13,107.31,44.43,156.95,90.09,129.57,86.54,75.24
20181108,204.07,72.96,87.73,413.85,164.5,62.79,249.96,21.2,172.45,15.67,117.0,45.21,67.79,161.25,72.18,65.71,105.87,125.11,127.18,245.67,90.42,169.31,212.92,43.83,93.7,1094.63,1082.4,65.37,1754.91,,66.3,36.86,74.17,108.5,44.25,159.36,88.89,129.8,89.17,74.97
20181109,201.1,72.79,88.79,405.17,165.15,55.01,244.84,21.03,171.18,15.52,115.24,45.04,67.27,159.9,70.94,65.97,102.38,124.46,123.44,235.96,89.39,165.52,208.26,44.61,93.72,1077.02,1066.15,63.42,1712.43,,67.32,36.22,75.32,108.28,43.82,160.14,89.61,127.66,88.86,74.45
20181112,197.04,70.56,89.69,337.86,162.44,53.89,236.67,19.03,167.06,15.52,112.55,44.44,64.5,157.49,69.08,65.76,98.07,123.93,118.6,217.29,88.59,163.87,203.7,45.19,91.56,1049.36,1038.63,61.2,1636.85,,68.39,36.86,76.2,106.49,42.47,161.03,91.28,125.06,89.92,72.74
20181113,198.37,69.49,88.22,330.63,161.45,52.55,238.74,19.61,184.72,15.41,111.38,44.37,64.34,158.05,69.19,67.58,99.2,123.32,118.52,219.32,88.87,162.65,205.27,45.12,91.38,1047.97,1036.05,60.0,1631.17,,68.83,37.78,76.43,107.86,42.16,161.31,91.14,126.48,91.31,72.81
20181114,198.06,69.41,88.31,312.56,160.29,51.6,235.22,20.81,177.68,15.24,111.07,43.95,63.47,157.21,68.41,67.21,99.94,123.84,116.11,219.99,87.11,157.72,199.74,44.66,88.64,1054.58,1043.66,59.1,1599.01,,68.74,38.11,76.13,107.77,41.94,163.41,90.38,124.87,89.58,72.97
20181115,204.91,70.73,90.14,320.78,162.49,53.56,239.95,21.49,179.05,15.42,113.29,44.27,64.72,160.64,69.46,67.71,102.7,121.83,119.68,222.77,88.46,159.37,197.9,45.12,89.29,1071.05,1064.71,57.28,1619.44,,69.39,37.82,76.79,109.6,42.69,162.13,92.08,126.66,89.15,74.4
20181116,209.0,72.04,91.53,319.78,165.0,50.94,238.89,20.66,179.21,15.51,113.36,44.57,64.99,163.86,69.87,67.99,100.98,122.83,118.62,225.41,89.27,157.39,198.04,45.25,89.5,1068.27,1061.49,56.78,1593.41,,69.3,36.75,77.02,109.46,42.94,163.98,93.25,126.53,88.75,74.38
20181119,205.58,70.54,89.48,299.83,162.77,49.14,219.69,19.11,177.75,15.38,110.1,45.37,62.61,159.89,68.27,67.3,99.61,122.09,115.06,204.43,89.44,156.04,192.98,45.38,88.45,1027.42,1020.0,55.68,1512.29,,69.74,35.82,77.43,108.25,43.3,166.23,93.49,125.96,90.82,72.6
20181120,200.51,69.06,88.09,302.29,158.9,49.26,219.73,19.21,171.53,14.9,106.55,44.29,67.52,157.56,66.67,67.02,95.74,120.76,116.82,210.1,88.75,153.4,192.51,45.26,88.09,1030.45,1025.76,55.63,1495.46,,69.0,35.59,77.82,106.09,43.06,160.64,93.02,122.21,88.87,71.24
20181121,198.69,68.53,86.15,301.6,156.98,50.85,225.98,18.73,174.67,15.07,109.37,44.39,67.72,159.18,67.88,68.52,95.52,121.95,118.11,215.72,89.8,154.33,196.0,44.07,88.07,1043.43,1037.61,54.39,1516.73,,67.52,36.31,75.65,106.5,43.86,160.31,91.55,123.64,87.43,72.25
20181123,196.8,68.11,85.63,299.41,156.93,50.05,225.56,19.38,177.24,15.0,109.28,44.47,68.21,157.49,67.79,69.41,96.77,121.59,118.1,218.87,89.11,153.61,194.78,43.98,87.73,1030.1,1023.88,53.72,1502.06,,67.75,37.95,75.86,105.74,43.37,160.39,92.1,123.61,87.66,71.66
20181126,199.86,68.81,86.24,311.15,158.4,50.91,231.96,20.08,177.72,15.4,112.48,44.61,69.25,158.58,68.4,68.9,96.61,122.77,119.0,223.38,89.77,153.16,200.95,44.29,88.42,1055.94,1048.62,53.21,1581.33,,67.82,38.1,75.96,109.68,43.85,161.59,92.25,127.97,88.94,72.16
20181127,200.69,69.71,87.68,313.95,159.11,50.75,232.25,21.05,179.27,15.22,110.51,44.55,69.36,156.27,67.57,70.75,95.43,122.5,120.93,220.71,90.25,152.03,193.81,44.79,87.5,1052.28,1044.41,53.79,1581.42,,68.68,38.29,76.58,110.11,43.43,162.08,92.11,126.18,89.63,71.38
20181128,204.34,72.83,88.94,335.22,162.21,51.02,249.21,21.34,178.95,15.51,113.79,45.36,71.48,158.66,69.6,74.74,96.62,124.22,122.84,235.59,92.2,154.75,199.57,44.77,89.16,1091.79,1086.23,54.95,1677.75,,68.11,38.94,76.22,112.89,44.32,162.0,92.62,132.34,91.24,73.93
20181129,204.56,73.26,89.91,331.99,161.07,52.56,249.09,21.43,177.67,15.44,111.58,45.4,71.57,159.21,68.11,72.94,96.42,122.38,123.34,228.7,91.75,155.24,196.7,44.67,88.48,1094.58,1088.3,55.94,1673.57,,67.82,38.42,76.35,111.31,43.44,162.72,92.48,127.58,90.5,73.22
